angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.17,"[821, 186, 293, 372]",0.0,0.17,0.0,0.16,0.46,0.04
0.17,"[821, 186, 293, 373]",0.0,0.15,0.0,0.16,0.46,0.06
0.18,"[821, 186, 294, 373]",0.0,0.14,0.0,0.17,0.48,0.03
0.17,"[822, 186, 294, 373]",0.0,0.14,0.0,0.22,0.42,0.05
0.18,"[822, 186, 294, 373]",0.0,0.13,0.0,0.22,0.43,0.04
0.08,"[842, 197, 281, 354]",0.0,0.07,0.0,0.45,0.38,0.02
0.1,"[823, 181, 299, 382]",0.0,0.11,0.0,0.42,0.32,0.04
0.1,"[823, 181, 299, 382]",0.0,0.12,0.0,0.42,0.32,0.05
0.11,"[823, 182, 299, 381]",0.0,0.1,0.0,0.39,0.36,0.04
0.11,"[823, 182, 299, 381]",0.0,0.1,0.0,0.38,0.36,0.04
0.11,"[823, 182, 299, 381]",0.0,0.1,0.0,0.38,0.36,0.04
0.1,"[845, 197, 280, 355]",0.0,0.06,0.0,0.41,0.41,0.01
0.1,"[845, 197, 280, 355]",0.0,0.06,0.0,0.41,0.41,0.02
0.19,"[823, 187, 293, 372]",0.0,0.12,0.0,0.25,0.41,0.04
0.19,"[823, 187, 293, 372]",0.0,0.12,0.0,0.25,0.41,0.04
0.18,"[823, 187, 293, 372]",0.0,0.12,0.0,0.25,0.41,0.04
0.09,"[851, 201, 274, 347]",0.0,0.07,0.0,0.42,0.41,0.01
0.09,"[850, 201, 275, 347]",0.0,0.06,0.0,0.4,0.44,0.01
0.08,"[847, 199, 278, 351]",0.0,0.09,0.0,0.39,0.43,0.01
0.1,"[847, 199, 278, 352]",0.0,0.1,0.0,0.37,0.41,0.02
0.1,"[847, 199, 278, 352]",0.0,0.1,0.0,0.37,0.41,0.02
0.1,"[847, 200, 279, 350]",0.0,0.11,0.0,0.33,0.44,0.01
0.11,"[847, 200, 279, 350]",0.0,0.11,0.0,0.32,0.44,0.01
0.12,"[847, 199, 280, 353]",0.0,0.09,0.0,0.28,0.5,0.01
0.11,"[847, 199, 280, 353]",0.0,0.09,0.0,0.29,0.49,0.02
0.11,"[847, 199, 280, 353]",0.0,0.09,0.0,0.29,0.49,0.02
0.15,"[845, 198, 281, 354]",0.0,0.1,0.0,0.25,0.47,0.02
0.15,"[846, 198, 280, 354]",0.0,0.1,0.0,0.24,0.48,0.02
0.16,"[843, 198, 283, 357]",0.0,0.09,0.0,0.26,0.46,0.02
0.15,"[842, 198, 284, 358]",0.0,0.1,0.0,0.28,0.46,0.02
0.15,"[842, 198, 284, 358]",0.0,0.1,0.0,0.28,0.46,0.02
0.13,"[841, 198, 284, 358]",0.0,0.1,0.0,0.27,0.49,0.02
0.13,"[842, 199, 284, 358]",0.0,0.1,0.0,0.26,0.5,0.01
